fix             log_frcs all print ${tsamp} "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp170.forces screen no
run             ${Nrun}
run             1000000
Per MPI rank memory allocation (min/avg/max) = 18.15 | 18.39 | 18.62 Mbytes
Step Temp PotEng 
  128220    294.82089    2.2579124 
  128230    308.86981    0.6094322 
  128240    298.11351    1.3948107 
  128250    309.75858   0.66668221 
  128260    304.59705   0.81172354 
  128270    310.51049   0.18196934 
  128280    306.87986   0.66777963 
  128290    308.35674    1.0095991 
  128300    307.48445   0.70039199 
  128310    295.63902    1.8797796 
  128320    293.90106    1.9768374 
  128330    316.72663  -0.50363289 
  128340    308.33936   0.56800072 
  128350    303.45157   0.37642647 
  128360    299.91911    1.0105269 
  128370    299.58557    1.1777335 
  128380    304.76253   0.20611408 
  128390    299.27327   0.51972725 
  128400    293.67616    1.3733978 
  128410    302.38357   0.67507579 
  128420    296.94072   0.49677836 
  128430    296.96753   0.45376681 
  128440    305.58829  -0.27651825 
  128450    296.56933   0.61947162 
  128460    298.38476   0.78132512 
  128470     299.2845    0.2765585 
  128480    293.43751   0.45736343 
  128490    296.33537  0.041805328 
  128500    290.36301   0.55853295 
  128510    286.03403    1.2883583 
  128520    296.42262   0.55060536 
  128530    296.14857 -0.056827527 
  128540    286.73833   0.74397485 
  128550    288.75956   0.48705407 
  128560     293.9043 -0.042241922 
  128570    312.69317   -1.8378667 
  128580    290.46356  -0.41537574 
  128590    285.37865  -0.14504868 
  128600    285.85649  -0.55097051 
  128610    301.48616    -2.428188 
  128620    282.66932   -0.8049423 
  128630    282.51699   -1.0290966 
  128640    285.17615   -1.2087092 
  128650    286.20799    -1.386128 
  128660    271.98312 -0.092437641 
  128670    284.35321   -1.2360124 
  128680    272.66171  -0.28772018 
  128690    272.78473  -0.16770514 
  128700    283.57991   -1.3199681 
  128710    291.28392   -2.3326327 
  128720    273.71662   -0.6360281 
  128730     287.1166   -1.4174782 
  128740    276.08704  -0.65985353 
  128750    290.44476   -1.8168999 
  128760    279.89752  -0.82356066 
  128770    292.13327   -1.6195287 
  128780    284.05002  -0.69624955 
  128790    291.67748  -0.86316805 
  128800    279.46457   0.33327812 
  128810       292.13  -0.18849357 
  128820    296.95783  -0.76924935 
  128830    294.62006  -0.42302181 
  128840    297.47947  -0.88746415 
  128850    308.39516   -1.4781117 
  128860    300.59808   -0.6481007 
  128870    286.92823   0.57881799 
  128880     293.9263   0.58064726 
  128890    300.50674 -0.068258603 
  128900    298.51334    0.2730837 
  128910    289.45304    1.3914195 
  128920    294.67134   0.81731215 
  128930    298.31934   0.78176264 
  128940     301.7112   0.70304251 
  128950    298.03888   0.96256487 
  128960    310.83726  -0.28383395 
  128970      301.075   0.73291438 
  128980    292.28727    1.9904733 
  128990     308.7219   0.18208774 
  129000    303.44898   0.31150486 
  129010    306.18592   0.66488704 
  129020    297.07058    0.7014229 
  129030    302.41785    0.3884624 
  129040    309.90383  -0.51507358 
  129050    310.31416  -0.66605189 
  129060     310.6221  -0.65661982 
  129070    301.64377    0.1048819 
  129080    298.83843   0.38432398 
  129090    303.84014  0.051343142 
  129100    306.02017  -0.47545372 
  129110    309.58434  -0.45169914 
  129120    310.94875  -0.61700297 
  129130    306.33139   0.14133619 
  129140    298.71596   0.28189974 
  129150    291.34096   0.72073472 
  129160     310.0446    -1.196901 
  129170    318.16181   -2.0607555 
  129180    297.21212  -0.30815147 
  129190    291.23855   0.51298442 
  129200    309.99844   -1.6013777 
  129210    297.52148  -0.67522659 
  129220    285.23103   0.37380076 
  129230    289.54648  -0.23186637 
  129240    291.43445  0.075849647 
  129250     291.0854  -0.50996204 
  129260    289.47225  -0.56967136 
  129270    283.45534  -0.71286848 
  129280    291.32249   -1.3632193 
  129290    277.15258   0.25594827 
  129300    273.52282   0.45555309 
  129310     288.2743   -1.1657479 
  129320    299.90053   -2.0017232 
  129330     290.9946  -0.83328965 
  129340    285.57631  -0.40660079 
  129350     284.2374  -0.29179951 
  129360    298.29482    -1.041274 
  129370    284.66566  -0.28469142 
  129380    297.87989  -0.93415292 
  129390    284.68816   0.34589411 
  129400    295.50754  -0.92388006 
  129410    289.58503 -0.091439713 
  129420    296.33583  -0.85585162 
  129430    287.20151  -0.23060549 
  129440    300.93112   -1.0867906 
  129450    295.46758  -0.10149694 
  129460    292.26569   0.18376574 
  129470    283.70295    1.4863574 
  129480    299.04225   0.30925111 
  129490    304.03467   -0.4161186 
  129500    301.01136   0.25990935 
  129510    297.84572   0.66959339 
  129520    302.92855   0.41367981 
  129530    299.62749    0.4829535 
  129540    305.06794  -0.16183922 
  129550    290.63926    1.0906198 
  129560    299.53295   0.50505991 
  129570    290.77078    1.5232434 
  129580    288.49277    1.8499397 
  129590    295.08324   0.81540199 
  129600    294.98876    1.0063888 
  129610    300.86887   0.38833608 
  129620    301.73903   0.21281803 
  129630    297.71586   0.72485004 
  129640    297.38462    1.2791941 
  129650    311.50269 -0.018469229 
  129660    299.26014    1.0961372 
  129670    301.76598    1.0907721 
  129680    300.22398    1.2100329 
  129690    307.87717   0.76154068 
  129700    307.38312   0.66139105 
  129710    301.36101    1.3080871 
  129720    300.27871    1.0733982 
  129730    296.72515    1.6264222 
  129740    301.52406    1.5517308 
  129750    306.59915   0.72845618 
  129760    305.58582   0.65068961 
  129770    300.09043    1.1722869 
  129780    307.75066   0.83826071 
  129790    309.70671   0.87122334 
  129800    304.50706    1.2785164 
  129810    304.68214   0.91869805 
  129820     309.6838   0.69622013 
  129830    309.65309   0.52357946 
  129840     295.8004    1.5139413 
  129850    312.83846   0.51059891 
  129860    305.60251    1.1240125 
  129870    317.12645  0.050723166 
  129880    307.20307   0.72007236 
  129890    293.78991    1.8520402 
  129900     297.9015   0.82144675 
  129910    306.05984   0.19405087 
  129920    290.45775    1.4541344 
  129930    293.93042   0.85006124 
  129940    292.74969   0.70511651 
  129950    286.42667   0.92084732 
  129960    283.74092    1.1059796 
  129970    284.83097   0.56913992 
  129980    301.09427  -0.38768088 
  129990    291.55908   0.59134066 
  130000    298.73857  -0.33446804 
  130010    271.61424    2.1137294 
  130020    287.31588   0.51396647 
  130030    295.61837   -0.5326132 
  130040    291.82179 -0.016744688 
  130050    288.82166  0.011553663 
  130060    297.86165  -0.54564313 
  130070    291.80857   -0.1042407 
  130080    295.04652   0.20679437 
  130090    300.40027  -0.14033177 
  130100    301.18769  -0.88211917 
  130110    302.42822  -0.74460679 
  130120    291.44255   0.78922686 
  130130      298.331   0.16253911 
  130140    297.05733   0.60347776 
  130150    296.24786   0.96868303 
  130160    303.96604   0.60408296 
  130170     299.9155   0.95705847 
  130180    297.65714   0.97343721 
  130190    292.62049    1.6183362 
  130200    302.79435    1.0071181 
  130210    308.11408   0.90732784 
  130220    306.21011   0.92119973 
  130230    301.49726     1.549013 
  130240    310.24133    1.0860586 
  130250    310.52642    1.4208477 
  130260    302.48849    2.2365736 
  130270    301.95933    2.4434879 
  130280    306.93125    1.5855795 
  130290    310.58785    1.6169577 
  130300    306.97738    1.7733208 
  130310    309.28654    1.4500681 
  130320    294.66961     2.841422 
  130330    302.08884    2.1586147 
  130340    307.25352    1.7547685 
  130350    315.11962    1.2550095 
  130360     312.4269    1.3321069 
  130370    299.30628    2.5902191 
  130380    299.76502     2.582752 
  130390    308.99175    1.4297594 
  130400    302.28434    2.2114305 
  130410    304.95708    1.9442519 
  130420    311.84247    1.6130673 
  130430    306.18111    1.5727071 
  130440    297.07503    2.4387841 
  130450    295.99658     2.306374 
  130460    313.49891    1.4016106 
  130470    310.47808    1.1794114 
  130480    301.37198    1.7913115 
  130490    303.33902     1.386487 
  130500    309.80012     1.042615 
  130510    305.14542      1.28591 
  130520    302.39095    1.2988124 
  130530     307.0625   0.96396718 
  130540    304.66524   0.65820809 
  130550    308.97533  -0.16650184 
  130560     315.8307  -0.57877904 
  130570    292.43048    1.1386924 
  130580     292.5045    1.4589851 
  130590    306.16413  -0.19527867 
  130600    307.87921  -0.17408496 
  130610     303.2379  -0.11391447 
  130620    297.32285   0.32193113 
  130630    280.72674    1.5109075 
  130640    302.47295 -0.057671862 
  130650    306.31869  -0.36678169 
  130660    307.08583  -0.76586373 
  130670    301.13232  -0.39116621 
  130680    292.26663    0.3625193 
  130690    290.32313   0.95382587 
  130700    303.66678   -0.6546325 
  130710    296.58509   0.33451549 
  130720    298.30615   0.17413209 
  130730    312.20676  -0.87548048 
  130740    289.74103    1.3281347 
  130750    292.02516   0.97405351 
  130760    283.25518    1.8296704 
  130770    302.82234  0.087593615 
  130780    305.96114  -0.24899132 
  130790    282.91933    1.2463525 
  130800    286.64658    1.4819839 
  130810    300.08044   0.11175377 
  130820    307.46643  -0.48674834 
  130830    290.93206    1.1917442 
  130840     298.6284   0.41562885 
  130850    304.24284    0.4790374 
  130860    304.70014   0.45890948 
  130870    309.33241   0.24499381 
  130880    303.63594   0.55362055 
  130890    298.97614    1.4437903 
  130900    302.60601     1.622337 
  130910    308.77961    1.5061166 
  130920      312.546     1.330342 
  130930    305.13816    2.1045884 
  130940    299.97896    2.6302647 
  130950    308.33877    2.0647942 
  130960    319.67771    1.6048996 
  130970     306.3553     2.415227 
  130980    318.60911    1.2038237 
  130990     317.1686    1.9129691 
  131000    305.29349    2.7025117 
  131010    317.54344    2.1489779 
  131020    319.57884    1.6196397 
  131030     322.8592    1.0216982 
  131040     320.6642    1.2821514 
  131050    307.64894    1.9159659 
  131060     300.8004    2.7175274 
  131070    297.86259    3.0166967 
  131080     319.6357   0.73899979 
  131090    324.32545   0.45506546 
  131100    302.47441    1.9501029 
  131110    305.41743    1.5587028 
  131120      307.735     1.272381 
  131130    307.01703    1.1189155 
  131140    307.97127   0.65651152 
  131150    311.41083   0.58058776 
  131160     296.6721    1.6419866 
  131170    301.21322    1.0395957 
  131180    303.80347   0.53105523 
  131190    293.37796    1.1329607 
  131200    304.57938  -0.44830647 
  131210    310.69777  -0.56133551 
  131220    297.52274  0.035780542 
  131230    293.55506   0.60591883 
  131240    296.85363   0.21257395 
  131250     308.8871   -1.0884407 
  131260    307.15163  -0.84091423 
  131270    296.96174 -0.056341302 
  131280    290.45802   0.73822342 
  131290    302.31299  -0.56093528 
  131300    297.14365  -0.17585666 
  131310    304.15649  -0.85193846 
  131320     299.4431  -0.40890802 
  131330    294.03453  -0.31540893 
  131340    294.22037   -0.4501699 
  131350     294.5562  -0.21697245 
  131360    291.22343   0.15775529 
  131370    295.96997  -0.51865126 
  131380     299.1064  -0.60860958 
  131390    290.35623   0.74425927 
  131400    287.72404   0.74040533 
  131410    306.20397  -0.68037156 
  131420    298.52605  -0.22547416 
  131430    294.34162   0.41361452 
  131440    297.45546   0.39355756 
  131450    291.74373    1.0761475 
  131460    304.74014   0.34150486 
  131470     300.9675   0.48727214 
  131480    305.73083   0.55685656 
  131490    297.58523    1.0161182 
  131500    307.33465   0.39946581 
  131510    313.42677  -0.16072681 
  131520    306.87422    1.1019367 
  131530    314.38644   0.49095483 
  131540    307.33343    1.0334354 
  131550    310.85491    1.1259422 
  131560    315.98145   0.88910661 
  131570    317.25461   0.70729986 
  131580    302.02328    2.2807607 
  131590    318.63308   0.90351151 
  131600     308.9822     1.588202 
  131610    312.26968    1.7098752 
  131620    336.98575  -0.92584324 
  131630    299.84815    2.4081841 
  131640    311.03437    1.3074601 
  131650    316.34439   0.95684059 
  131660    315.41315    1.2301235 
  131670    308.62772    1.8998256 
  131680    315.93997    0.8918416 
  131690    323.16968   0.14320109 
  131700    312.61882    0.6650256 
  131710    297.73943    1.7771408 
  131720    294.23048    1.8283374 
  131730    299.54771    1.0186775 
  131740    303.13303   0.29995703 
  131750    300.81097  0.072099884 
  131760    286.69595    1.1500993 
  131770    291.07617   0.35197996 
  131780    298.84483  0.036630811 
  131790    299.51338  -0.16825725 
  131800    302.79265   -0.3017248 
  131810    289.18388   0.72655935 
  131820    291.31693    0.2971417 
  131830    290.78332   0.64231604 
  131840    290.05424   0.56360573 
  131850    297.45293  0.065757324 
  131860    293.86807   0.24474488 
  131870    280.51364    1.4899248 
  131880    286.89815    1.0376653 
  131890    301.04505 -0.038151705 
  131900    298.21658  -0.29018364 
  131910    305.87463  -0.93770192 
  131920    288.51402   0.71104143 
  131930    282.26392     1.155625 
  131940    291.03743    0.4630377 
  131950    305.85899  -0.15402691 
  131960    306.90693  -0.45471653 
  131970    304.83716   0.05306713 
  131980    291.72906    1.3928639 
  131990    301.78588  -0.14266048 
  132000    298.28409   0.64283816 
  132010    294.30767   0.92141265 
  132020    301.20902   0.36573355 
  132030    307.57555   0.32112871 
  132040    308.82851    1.0856819 
  132050    310.66687   0.51544448 
  132060    310.33798   0.37531651 
  132070    314.76823   0.46699316 
  132080    307.69651    1.6659244 
  132090    300.68959    2.1008862 
  132100    299.40084    1.9523352 
  132110    316.21849   0.25563487 
  132120    302.72938    1.7378354 
  132130    319.37221  -0.25420669 
  132140    305.58946   0.77010356 
  132150    302.43912    1.1522423 
  132160    308.05837   0.57316957 
  132170     312.9039 -0.035430138 
  132180    309.64138 -0.021283754 
  132190    297.36807     1.098966 
  132200    301.40168   0.56996746 
  132210    303.01884   0.53806722 
  132220    300.13076   0.28722791 
  132230    292.26472    1.0036724 
  132240    302.61626 -0.046809739 
  132250    300.93035 0.0025896151 
  132260    292.53139   0.54535079 
  132270    295.11844  -0.23048865 
  132280    289.34677  -0.13440578 
  132290    299.19824   -1.0849766 
  132300      306.195   -1.5874787 
  132310    285.39028   0.51908122 
  132320    280.94352    0.6826687 
  132330    276.08208   0.49647973 
  132340    297.07567  -0.99466218 
  132350    296.92618   -1.1463332 
  132360    292.19107  -0.70226491 
  132370    283.37321   0.17807374 
  132380    286.69298   0.56297451 
  132390    293.98955  -0.50269183 
  132400    302.99633    -1.268697 
  132410     295.3609  -0.83382951 
  132420    279.09086   0.99587978 
  132430    295.72234  -0.31216138 
  132440    297.70377  -0.56430722 
  132450    292.79773 -0.055576808 
  132460    285.03933    1.1859301 
  132470     291.8672  -0.13774844 
  132480    298.58344  -0.47614775 
  132490    305.46611   -1.0189643 
  132500    291.58223   0.43407038 
  132510    295.62379   0.22981672 
  132520    295.45546   0.24765256 
  132530    298.78131 -0.052687247 
  132540     298.0717   0.07237995 
  132550    290.50025   0.80123988 
  132560    297.94535  -0.13586737 
  132570    303.97442  -0.61565493 
  132580    302.26552   -0.2694888 
  132590    290.10687    1.5862562 
  132600    295.58415   0.83469602 
  132610    312.63847  -0.64096463 
  132620    308.03222  -0.66613053 
  132630    299.66695   0.59472391 
  132640    303.23065   0.79384103 
  132650    291.66795    1.7852334 
  132660    306.91116   0.10442291 
  132670    288.43143    1.7836197 
  132680    299.19692    1.2224239 
  132690    305.58631   0.64423809 
  132700     310.2829   0.29674214 
  132710    304.14249   0.33245764 
  132720    314.69409  -0.38744694 
  132730    296.16919    1.7344417 
  132740    299.95194    1.3974733 
  132750    309.70344    0.4773703 
  132760    306.35214    1.0400994 
